word1;word2;human_score
automobile;car;0.392
gem;jewel;0.384
journey;voyage;0.384
boy;lad;0.376
coast;shore;0.37
asylum;madhouse;0.361
magician;wizard;0.35
midday;noon;0.342
furnace;stove;0.311
food;fruit;0.308
bird;cock;0.305
bird;crane;0.297
implement;tool;0.295
brother;monk;0.282
brother;lad;0.166
crane;implement;0.168
car;journey;0.116
monk;oracle;0.11
cemetery;woodland;0.095
food;rooster;0.089
coast;hill;0.087
forest;graveyard;0.084
shore;woodland;0.063
monk;slave;0.055
coast;forest;0.042
lad;wizard;0.042
cord;smile;0.013
glass;magician;0.011
rooster;voyage;0.008
noon;string;0.008
