word1;word2;human_score
love;sex;0.677
tiger;cat;0.735
tiger;tiger;1.0
book;paper;0.746
computer;keyboard;0.762
computer;internet;0.758
plane;car;0.577
train;car;0.631
telephone;communication;0.75
television;radio;0.677
media;radio;0.742
drug;abuse;0.685
bread;butter;0.619
cucumber;potato;0.592
doctor;nurse;0.7
professor;doctor;0.662
student;professor;0.681
smart;student;0.462
smart;stupid;0.581
company;stock;0.708
stock;market;0.808
stock;phone;0.162
stock;CD;0.131
stock;jaguar;0.092
stock;egg;0.181
fertility;egg;0.669
stock;live;0.373
stock;life;0.092
book;library;0.746
bank;money;0.812
wood;forest;0.773
money;cash;0.915
professor;cucumber;0.031
king;cabbage;0.023
king;queen;0.858
king;rook;0.592
bishop;rabbi;0.669
Jerusalem;Israel;0.846
Jerusalem;Palestinian;0.765
holy;sex;0.162
fuck;sex;0.944
Maradona;football;0.862
football;soccer;0.903
football;basketball;0.681
football;tennis;0.663
tennis;racket;0.756
Arafat;peace;0.673
Arafat;terror;0.765
Arafat;Jackson;0.25
law;lawyer;0.838
movie;star;0.738
movie;popcorn;0.619
movie;critic;0.673
movie;theater;0.792
physics;proton;0.812
physics;chemistry;0.735
space;chemistry;0.488
alcohol;chemistry;0.554
vodka;gin;0.846
vodka;brandy;0.813
drink;car;0.304
drink;ear;0.131
drink;mouth;0.596
drink;eat;0.687
baby;mother;0.785
drink;mother;0.265
car;automobile;0.894
gem;jewel;0.896
journey;voyage;0.929
boy;lad;0.883
coast;shore;0.91
asylum;madhouse;0.887
magician;wizard;0.902
midday;noon;0.929
furnace;stove;0.879
food;fruit;0.752
bird;cock;0.71
bird;crane;0.738
tool;implement;0.646
brother;monk;0.627
crane;implement;0.269
lad;brother;0.446
journey;car;0.585
monk;oracle;0.5
cemetery;woodland;0.208
food;rooster;0.442
coast;hill;0.438
forest;graveyard;0.185
shore;woodland;0.308
monk;slave;0.092
coast;forest;0.315
lad;wizard;0.092
chord;smile;0.054
glass;magician;0.208
noon;string;0.054
rooster;voyage;0.062
money;dollar;0.842
money;cash;0.908
money;currency;0.904
money;wealth;0.827
money;property;0.757
money;possession;0.729
money;bank;0.85
money;deposit;0.773
money;withdrawal;0.688
money;laundering;0.565
money;operation;0.331
tiger;jaguar;0.8
tiger;feline;0.8
tiger;carnivore;0.708
tiger;mammal;0.685
tiger;animal;0.7
tiger;organism;0.477
tiger;fauna;0.562
tiger;zoo;0.587
psychology;psychiatry;0.808
psychology;anxiety;0.7
psychology;fear;0.685
psychology;depression;0.742
psychology;clinic;0.658
psychology;doctor;0.642
psychology;Freud;0.821
psychology;mind;0.769
psychology;health;0.723
psychology;science;0.671
psychology;discipline;0.558
psychology;cognition;0.748
planet;star;0.845
planet;constellation;0.806
planet;moon;0.808
planet;sun;0.802
planet;galaxy;0.811
planet;space;0.792
planet;astronomer;0.794
precedent;example;0.585
precedent;information;0.385
precedent;cognition;0.281
precedent;law;0.665
precedent;collection;0.25
precedent;group;0.177
precedent;antecedent;0.604
cup;coffee;0.658
cup;tableware;0.685
cup;article;0.24
cup;artifact;0.292
cup;object;0.369
cup;entity;0.215
cup;drink;0.725
cup;food;0.5
cup;substance;0.192
cup;liquid;0.59
jaguar;cat;0.742
jaguar;car;0.727
energy;secretary;0.181
secretary;senate;0.506
energy;laboratory;0.509
computer;laboratory;0.678
weapon;secret;0.606
FBI;fingerprint;0.694
FBI;investigation;0.831
investigation;effort;0.459
Mars;water;0.294
Mars;scientist;0.563
news;report;0.816
