word1;word2;web_jaccard
automobile;car;0.105
gem;jewel;0.028
journey;voyage;0.017
boy;lad;0.01
coast;shore;0.054
asylum;madhouse;0.0
magician;wizard;0.018
midday;noon;0.019
furnace;stove;0.037
food;fruit;0.15
bird;cock;0.008
bird;crane;0.016
implement;tool;0.081
brother;monk;0.008
brother;lad;0.009
crane;implement;0.007
car;journey;0.089
monk;oracle;0.003
cemetery;woodland;0.002
food;rooster;0.005
coast;hill;0.074
forest;graveyard;0.006
shore;woodland;0.005
monk;slave;0.009
coast;forest;0.085
lad;wizard;0.005
cord;smile;0.007
glass;magician;0.004
rooster;voyage;0.0
noon;string;0.005
