word1;word2;web_jaccard
cord;smile;0.007
rooster;voyage;0.0
noon;string;0.005
fruit;furnace;0.003
autograph;shore;0.0
automobile;wizard;0.005
mound;stove;0.0
grin;implement;0.0
asylum;fruit;0.002
asylum;monk;0.001
graveyard;madhouse;0.0
glass;magician;0.004
boy;rooster;0.003
cushion;jewel;0.033
monk;slave;0.009
asylum;cemetery;0.0
coast;forest;0.086
grin;lad;0.003
shore;woodland;0.005
monk;oracle;0.003
boy;sage;0.009
automobile;cushion;0.004
mound;shore;0.002
lad;wizard;0.005
forest;graveyard;0.006
food;rooster;0.005
cemetery;woodland;0.002
shore;voyage;0.004
bird;woodland;0.024
coast;hill;0.074
furnace;implement;0.016
crane;rooster;0.001
hill;woodland;0.018
car;journey;0.088
cemetery;mound;0.001
